asperges-vertes-jambon-fume-et-fromage,fuentespina,ribera-del-duero
emince-de-veau-a-la-creme,chambolle-musigny,chateauneuf-du-pape-blanc
escalope-de-foie-gras-aux-abricots,cotes-du-roussillon-village
escalope-de-foie-gras-sur-mousseline-de-butternut,pomerol,saint-estephe,margaux
escargot-de-mer-romanesco,cremant-d-alsace,cremant-de-bourgogne,blanquette-de-limoux
faux-filet-grille,cotes-du-marmandais,cotes-du-marmandais-elian-da-ros-ce-vin-est-une-fete
foie-gras,vin-jaune-cepage-savagnin
foie-gras-aux-raisins,sauternes,gewurztraminer-vendanges-tardives,riesling,fronton,floc-de-gascogne-blanc,loupiac
fondue-au-chocolat,banyuls-rouge
fondue-savoyarde,fendant,vins-d-alsace,chignin,apremont,abymes,roussette,mondeuse
fromage-type-munster,alsace,gewurstraminer
fromages-forts-a-pates-persillees,banyuls,maury
fruits-de-mer,terres-salees-blanc-domaine-de-simonet-christophe-barbier-vdp-des-cotes-de-perignan
gateau-au-chocolat,maury,rivesaltes-grenat,mas-amiel-maury
gateau-moelleux-au-chocolat,banyuls-ambre,muscat-de-rivesaltes,chambolle-musigny
gigot-d-agneau,saint-emilion,gigondas,pessac-leognan,chateauneuf-du-pape,pauillac
gratin-dauphinois,persan,balmes-dauphinoises,coteaux-du-gresivaudan,verdesse,isere
gratin-de-poireaux-au-jambon,cabernet-sauvignon
gratin-de-potimarron-au-crabe,meursault,chablis,quincy
gratin-de-puree-au-colin-et-saumon,meursault,cotes-de-beaune-blanc
hamburgers-au-poulet-aux-tomates-et-au-crottin-de-chavignol,la-valiere-blanc-du-mas-nicot,un-blanc-aop-du-languedoc
homard-grille-au-beurre-blanc,pinot-gris,sauternes,gewurztraminer,chablis,muscat-sec,riesling
homard-grille-sauce-homardine,gewurztraminer-vendanges-tardives,pinot-gris
homard-sur-sable-de-mini-pates,condrieu,viognier
huitres,chablis,champagne-zero-dosage,champagne,riesling,champagne-tristan-h-le-colostrum,dom-perignon,muscadet,champagne-brut
huitres-au-naturel,muscadet,entre-deux-mers
huitres-claires,muscadet-sur-lie,gros-plant,sylvaner,entre-deux-mers,edelzwicker,riesling,sauvignon
huitres-nature-st-vaast,anjou-sauvignon
hummus-a-la-coriandre,coroa-d-ouro-2013-blanc
langouste,corton-charlemagne,chassagne-montrachet,chablis-grand-cru,montrachet,meursault,meursault-1er-cru,champagne,chardonnay,puligny-montrachet,champagne-blanc-de-blancs
langoustines,picpoul-de-pinet,saint-veran,bourgogne-blanc,muscadet,pouilly-fuisse,petit-chablis,auxey-duresses
lapin-au-cidre,touraine-rouge,saint-amour,cidre-brut,saumur-champigny,morgon
lapin-aux-asperges-blanches,givry,pouilly-fuisse
lapin-chasseur,collioure-rouge,ventoux,cotes-du-rhone,cotes-du-roussillon
lotte-aux-agrumes,sauternes,tokay-d-alsace
macaron-epice-foie-gras-et-confit-de-figues,tariquet-1eres-grives,champagne-sec
magret-de-canard-poele-a-l-ananas,cotes-de-nuit,rose-de-provence,chateauneuf-du-pape,picpoul-de-pinet,saint-emilion,gigondas
maquereaux-au-vin-blanc,gros-plant,muscadet-sur-lie,sauvignon,touraine,saumur
oeuf-au-guacamole-et-crevette-rose,muscat-de-rivesaltes,muscat-d-alsace
oeuf-sur-le-plat,cotes-du-rhone,collioure,coteaux-du-languedoc,vins-roses,cotes-du-roussillon-village
osso-bucco,vino-nobile-di-montepulciano,barolo,chateauneuf-du-pape,amarone,barbaresco,brunello
osso-buco-a-la-milanaise,chianti,haut-medoc
paella,collioure-rouge
paupiette-de-seitan-farcies-au-chataignes-noix-et-cepes,saumur-champigny,bordeaux-rouge,cahors,lalande-de-pomerol,minervois-domaine-pujol-izard-cuvee-saint-fructueux-2009,sancerre-rouge,brouilly,saint-emilion,grenache-et-syrah,minervois
petits-eperlans-poeles,rose-de-provence,pastis
pigeon-roti-sur-puree-de-carottes-et-petits-pois,listrac-medoc,moulis,saint-julien
pintade-a-l-aillet,chianti-classico-2008
pissaladiere,coteaux-varois,roses,listel,blancs,cotes-de-provence,beaumes-de-venise
pizza,chianti,lambrusco,barbera,bardolino,madiran,syrah,zinfandel,cotes-du-rhone,chiaretto,ventoux,coteaux-varois,sangiovese,nero-d-avola
plateau-de-fromages,julienas,bourgogne,bordeaux,macon,beaune,porto,moulin-a-vent,beaujolais-village
poire-au-chocolat-et-amandes,loupiac,champagne-rose,poire,sauternes,montbazillac
porc-au-caramel,minervois
potee-au-chou,saint-pourcain-rouge,brouilly,saint-amour,beaujolais
poulet-au-citron,brouilly,chiroubles,cheverny-blanc,saumur-blanc
poulet-aux-ecrevisses,bordeaux-graves-blanc,nuits-saint-georges,ermitage-blanc,pouilly-fuisse
poulet-roti,chiroubles,sancerre-rouge,beaujolais-village,anjou,valencay,chinon,bourgogne,rose-de-provence
puddings-au-potiron,muscat-de-rivesaltes,bonnezeaux,coteaux-du-layon,muscat-de-frontignan
puree-de-patate-douce-a-la-truffe,loupiac,pinot-gris-d-alsace-vendanges-tardives,sauternes,sainte-croix-du-mont,vin-liquoreux
queue-de-homard-au-beurre-de-clementines,meursault,puligny-montrachet
queue-de-langouste-aux-truffes,montravel,pinot-blanc
rable-de-lapin-aux-girolles-et-petits-pois,fitou,collioure
raclette,roussette-de-savoie,fendant,gamay,vin-de-savoie-rouge,chignin-bergeron,mondeuse,vin-de-savoie-blanc,vin-jaune-du-jura
ravitoto,biere-blonde,biere,three-horses-beer
ris-de-veau-a-la-marechale,saint-nicolas-de-bourgueuil,chablis
roti-de-boeuf,pommard,santenay,pauillac,chateauneuf-du-pape,aloxe-corton,saint-emilion,mercurey
roti-de-cerf,bourgogne-2011
roti-de-filet-de-veau-sur-champignons-cremeux,rully-rouge
roti-de-veau,cotes-de-castillon,cotes-de-bourg,vosne-romanee,morgon,cote-du-rhone,beaujolais,savigny-les-beaune
roules-de-saumon-fume-au-celeri,muscat-sec,cotes-du-roussillon-villages-blanc
saint-jacques-au-safran,cotes-du-jura-chardonnay,alsace-riesling-grand-cru
saint-jacques-et-foie-gras-poeles,sauternes,liebfraumilch,muscat,chateauneuf-du-pape-blanc,pessac-leognan-blanc
saint-jacques-poelees-au-beurre-d-agrumes,champagne-jean-velut-brut-tradition,champagne
saint-pierre-a-la-sauce-hollandaise,vouvray,bourgogne-alligote
salade-de-fonds-d-artichauts-aux-fraises,sauternes,musact-de-rivesaltes
salade-printaniere-au-quinoa-rouge,gruner-silvaner-spatlese-halbtrocken,sauvignon-blanc-kabinett-trocken
samousas-au-poulet-et-champignons,chateldon,ouzo,ricard,raki,pernod,san-pelegrino,perrier,badoit,pastis
sardines-millesimees,porto-vintage
sole-meuniere,pouilly-fuisse,cheverny,menetou-salon,meursault,chablis
soles-meunieres,menetou-salon,cheverny
steak-tartare,cotes-du-rhone-villages
tarte-a-la-praline,banyuls-rimage,banyuls-ambre
tarte-aux-abricots-et-amandes,muscat-d-alsace,vouvray,sauternes,champagne-rose,asti-spumante
tarte-aux-abricots-et-aux-amandes,la-cuvee-blanc-de-blancs-brut-nature-quot-de-la-maison-veuve-fourny,un-champagne-blancs-de-blancs
tarte-aux-poires,asti,gewurztraminer,vouvray,champagne,loupiac
tarte-fine-aux-bananes-et-framboises,rhum-blanc,champagne,smoothie-a-la-banane,the,alcool-de-framboises
tarte-normande,champagne,cidre-de-normandie,jus-de-pomme
tarte-ratatouille-aux-lardons,chinon-rose,coteaux-d-aix,roses-de-provence
tartelettes-aux-fraises-et-au-fromage-blanc-avec-une-note-de-citron-vert-et-de-banane,woska-du-domaine-des-hautes-glaces,vodka
tataki-de-boeuf,chenin-blanc,anjou-blanc-jo-pithon-et-joseph-paille,anjou-blanc
tempura,champagne-blanc-de-noirs,champagne-tarlant-zero-brut-nature,champagne-non-dose,champagne-tarlant-tradition
terrine-de-legumes-au-chevre-frais-et-a-la-truffe-du-ventoux,une-petite-merveille-de-terra-ventoux,le-terres-de-truffes-2011,un-vin-rouge-en-appellation-ventoux
tiramisu-au-chocolat-blanc-fraises-et-speculoos,un-vin-rose-bio-en-appellation-ventoux,90,le-rose-2014-a-8,une-petite-merveille-du-domaine-de-la-massane
toast-de-foie-gras-sur-lit-de-confit-d-oignon-ou-confit-de-figues,tariquet,floc-de-gascogne-blanc
tournedos-de-veau-aux-asperges-des-bois-et-mini-champignons,tautavel,cotes-du-roussillon-village
turbot-grille-aux-asperges-sauce-hollandaise,condrieu,saumur-champigny,cheverny,meursault
